category_code,category_name,high_level_category,is_subset
44X72,Retail Trade and Food Services,Retail Trade and Food Services,False
44Y72,"Retail Trade and Food Services, ex Auto",Retail Trade and Food Services,True
44Z72,"Retail Trade and Food Services, ex Gas",Retail Trade and Food Services,True
44W72,"Retail Trade and Food Services, ex Auto and Gas",Retail Trade and Food Services,True
44000,Retail Trade,Retail Trade and Food Services,True
4400A,"Retail Trade, ex Auto",Retail Trade and Food Services,True
4400C,GAFO,Retail Trade and Food Services,True
441,Motor Vehicle and Parts Dealers,Motor Vehicle and Parts Dealers,False
441X,Auto and Other Motor Vehicles,Motor Vehicle and Parts Dealers,True
4411,Automobile Dealers,Motor Vehicle and Parts Dealers,True
44111,New Car Dealers,Motor Vehicle and Parts Dealers,True
44112,Used Car Dealers,Motor Vehicle and Parts Dealers,True
4413,"Automotive Parts, Accessories, and Tire Stores",Motor Vehicle and Parts Dealers,True
4423X,"Furniture, Home Furnishings, Electronics, and Appliance Stores","Furniture, Home Furnishings, Electronics, and Appliance Stores",False
442,Furniture and Home Furnishings Stores,Furniture and Home Furnishings Stores,False
4421,Furniture Stores,Furniture and Home Furnishings Stores,True
4422,Home Furnishings Stores,Furniture and Home Furnishings Stores,True
44221,Floor Covering Stores,Furniture and Home Furnishings Stores,True
442299,All Other Home Furnishings Stores,Furniture and Home Furnishings Stores,True
443,Electronics and Appliance Stores,Electronics and Appliance Stores,False
443141,Household Appliance Stores,Electronics and Appliance Stores,True
443142,Electronics Stores,Electronics and Appliance Stores,True
444,Building Material and Garden Equipment and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,False
4441,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,True
44412,Paint and Wallpaper Stores,Building Material and Garden Equipment and Supplies Dealers,True
44413,Hardware Stores,Building Material and Garden Equipment and Supplies Dealers,True
445,Food and Beverage Stores,Food and Beverage Stores,False
4451,Grocery Stores,Food and Beverage Stores,True
44511,Supermarkets and Other Grocery (Except Convenience) Stores,Food and Beverage Stores,True
4453,"Beer, Wine, and Liquor Stores",Food and Beverage Stores,True
446,Health and Personal Care Stores,Health and Personal Care Stores,False
44611,Pharmacies and Drug Stores,Health and Personal Care Stores,True
447,Gasoline Stations,Gasoline Stations,False
448,Clothing and Clothing Accessories Stores,Clothing and Clothing Accessories Stores,False
4481,Clothing Stores,Clothing and Clothing Accessories Stores,True
44811,Men's Clothing Stores,Clothing and Clothing Accessories Stores,True
44812,Women's Clothing Stores,Clothing and Clothing Accessories Stores,True
44814,Family Clothing Stores,Clothing and Clothing Accessories Stores,True
44819,Other Clothing Stores,Clothing and Clothing Accessories Stores,True
4482,Shoe Stores,Clothing and Clothing Accessories Stores,True
44831,Jewelry Stores,Clothing and Clothing Accessories Stores,True
451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",False
45111,Sporting Goods Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
45112,"Hobby, Toy, and Game Stores","Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
451211,Book Stores,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",True
452,General Merchandise Stores,General Merchandise Stores,False
4521E,Department Stores,Department Stores,False
452112E,Discount Department Stores,Department Stores,True
452111E,Department Stores (Excl. Discount Department Stores),Department Stores,True
4529,Other General Merchandise Stores,Other General Merchandise Stores,False
45291,Warehouse Clubs and Superstores,Other General Merchandise Stores,True
45299,All Other General Merchandise Stores,Other General Merchandise Stores,True
453,Miscellaneous Store Retailers,Miscellaneous Store Retailers,False
4532,"Office Supplies, Stationery, and Gift Stores",Miscellaneous Store Retailers,True
45321,Office Supplies and Stationery Stores,Miscellaneous Store Retailers,True
45322,"Gift, Novelty, and Souvenir Stores",Miscellaneous Store Retailers,True
45330,Used Merchandise Stores,Miscellaneous Store Retailers,True
454,Nonstore Retailers,Nonstore Retailers,False
4541,Electronic Shopping and Mail-order Houses,Nonstore Retailers,True
45431,Fuel Dealers,Gasoline Stations,True
722,Food Services and Drinking Places,Food Services and Drinking Places,False
7224,Drinking Places,Food Services and Drinking Places,True
7225,Restaurants and Other Eating Places,Food Services and Drinking Places,True
722511,Full Service Restaurants,Food Services and Drinking Places,True
72251X,Limited Service Eating Places,Food Services and Drinking Places,True
